album_name,album_release_date,album_release_year,avg_energy
2_Cool_4_Skool,2013-06-12,2013,0.6455714285714286
ORUL,2013-09-11,2013,0.7718
Skool_Luv_Affair,2014-05-14,2014,0.8256363636363636
Dark_Wild,2014-08-20,2014,0.8545625
Wake_Up,2014-12-24,2014,0.7728333333333334
HYYH,2015-04-29,2015,0.7607
HYYH2,2015-11-30,2015,0.8148888888888889
Young_Forever,2016-05-02,2016,0.72025
Youth,2016-09-07,2016,0.85
Wings,2016-10-10,2016,0.7739333333333334
You_Never_Walk_Alone,2017-02-13,2017,0.89925
LY_Her,2017-09-18,2017,0.755
Face_Yourself,2018-04-04,2018,0.8023333333333333
LY_Tear,2018-05-18,2018,0.6958571428571428
LY_Answer,2018-08-24,2018,0.7340588235294118
MOTS_Persona,2019-04-12,2019,0.7822857142857143
MOTS_7,2020-02-21,2020,0.7376666666666667
MOTS_Journey,2020-07-14,2020,0.5896666666666667
BE,2020-11-20,2020,0.6425
Proof,2022-06-10,2022,0.744875
