album_name,album_release_date,album_release_year,avg_speechiness
2_Cool_4_Skool,2013-06-12,2013,0.36992857142857144
ORUL,2013-09-11,2013,0.24909
Skool_Luv_Affair,2014-05-14,2014,0.32081818181818184
Dark_Wild,2014-08-20,2014,0.1518125
Wake_Up,2014-12-24,2014,0.1539
HYYH,2015-04-29,2015,0.28854
HYYH2,2015-11-30,2015,0.2711222222222222
Young_Forever,2016-05-02,2016,0.107275
Youth,2016-09-07,2016,0.16
Wings,2016-10-10,2016,0.11168666666666667
You_Never_Walk_Alone,2017-02-13,2017,0.11035
LY_Her,2017-09-18,2017,0.13281111111111113
Face_Yourself,2018-04-04,2018,0.09423333333333334
LY_Tear,2018-05-18,2018,0.13157142857142856
LY_Answer,2018-08-24,2018,0.09922352941176471
MOTS_Persona,2019-04-12,2019,0.168
MOTS_7,2020-02-21,2020,0.10402666666666667
MOTS_Journey,2020-07-14,2020,0.0382
BE,2020-11-20,2020,0.1875625
Proof,2022-06-10,2022,0.133875
